row_index,role
0,challenge
1,train
2,train
3,challenge
4,val
5,train
6,train
7,train
8,train
9,train
10,challenge
11,train
12,train
13,calibration
14,train
15,train
16,challenge
17,train
18,challenge
19,calibration
20,challenge
21,train
22,train
23,challenge
24,train
25,challenge
26,train
27,val
28,train
29,train
30,calibration
31,challenge
32,train
33,challenge
34,challenge
35,val
36,train
37,train
38,train
39,train
40,train
41,challenge
42,train
43,calibration
44,train
45,train
46,val
47,train
48,train
49,train
50,val
51,challenge
52,calibration
53,train
54,train
55,challenge
56,challenge
57,val
58,train
59,calibration
60,calibration
61,val
62,val
63,train
64,train
65,train
66,train
67,challenge
68,calibration
69,train
70,train
71,val
72,val
73,train
74,val
75,train
76,challenge
77,challenge
78,train
79,train
80,train
81,train
82,train
83,train
84,calibration
85,train
86,train
87,calibration
88,challenge
89,train
90,calibration
91,train
92,calibration
93,train
94,train
95,calibration
96,train
97,challenge
98,challenge
99,train
100,calibration
101,challenge
102,train
103,train
104,val
105,train
106,calibration
107,train
108,val
109,calibration
110,val
111,calibration
112,train
113,challenge
114,train
115,val
116,train
117,calibration
118,train
119,train
120,val
121,train
122,train
123,train
124,calibration
125,train
126,train
127,train
128,calibration
129,challenge
130,train
131,train
132,train
133,train
134,train
135,val
136,train
137,val
138,train
139,train
140,train
141,train
142,val
143,train
144,train
145,challenge
146,train
147,train
148,calibration
149,val
150,calibration
151,train
152,challenge
153,train
154,train
155,challenge
156,train
157,train
158,train
159,challenge
160,train
161,val
162,train
163,challenge
164,challenge
165,train
166,train
167,train
168,val
169,train
170,calibration
171,train
172,train
173,challenge
174,val
175,train
176,challenge
177,val
178,train
179,train
180,train
181,train
182,train
183,val
184,val
185,challenge
186,train
187,train
188,train
189,val
190,val
191,train
192,val
193,train
194,val
195,train
196,calibration
197,train
198,calibration
199,train
200,challenge
201,train
202,calibration
203,train
204,val
205,val
206,train
207,val
208,challenge
209,train
210,train
211,challenge
212,train
213,calibration
214,train
215,challenge
216,val
217,challenge
218,train
219,train
220,train
221,challenge
222,train
223,train
224,train
225,train
226,val
227,val
228,train
229,train
230,train
231,train
232,challenge
233,challenge
234,train
235,calibration
236,train
237,train
238,train
239,train
240,train
241,val
242,train
243,train
244,train
245,val
246,calibration
247,calibration
248,train
249,train
250,train
251,train
252,val
253,val
254,train
255,calibration
256,train
257,train
258,train
259,train
260,calibration
261,val
262,val
263,train
264,train
265,train
266,val
267,val
268,challenge
269,train
270,train
271,train
272,challenge
273,challenge
274,train
275,calibration
276,train
277,train
278,train
279,train
280,train
281,val
282,calibration
283,val
284,train
285,challenge
286,challenge
287,val
288,val
289,train
290,calibration
291,train
292,challenge
293,train
294,train
295,train
296,train
297,train
298,val
299,challenge
300,calibration
301,train
302,train
303,calibration
304,calibration
305,train
306,train
307,train
308,train
309,val
310,train
311,challenge
312,val
313,train
314,challenge
315,train
316,train
317,train
318,val
319,train
320,train
321,train
322,train
323,train
324,val
325,val
326,challenge
327,calibration
328,train
329,val
330,val
331,train
332,challenge
333,val
334,train
335,challenge
336,train
337,val
338,train
339,train
340,challenge
341,challenge
342,train
343,train
344,calibration
345,challenge
346,train
347,train
348,train
349,train
350,val
351,train
352,challenge
353,val
354,train
355,train
356,val
357,challenge
358,challenge
359,train
360,train
361,train
362,val
363,train
364,train
365,train
366,train
367,val
368,calibration
369,val
370,challenge
371,train
372,train
373,train
374,train
375,challenge
376,train
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,challenge
385,challenge
386,val
387,train
388,train
389,train
390,calibration
391,train
392,train
393,train
394,challenge
395,train
396,train
397,train
398,train
399,challenge
400,val
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,calibration
409,train
410,train
411,calibration
412,train
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,calibration
421,challenge
422,calibration
423,challenge
424,val
425,train
426,train
427,val
428,train
429,train
430,train
431,challenge
432,calibration
433,train
434,val
435,train
436,train
437,challenge
438,train
439,train
440,train
441,train
442,val
443,train
444,challenge
445,calibration
446,val
447,train
448,challenge
449,train
450,train
451,train
452,train
453,challenge
454,train
455,val
456,calibration
457,train
458,val
459,train
460,calibration
461,val
462,val
463,train
464,calibration
465,train
466,val
467,challenge
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,calibration
480,challenge
481,train
482,train
483,train
484,val
485,train
486,train
487,challenge
488,train
489,val
490,train
491,val
492,train
493,calibration
494,challenge
495,train
496,calibration
497,train
498,train
499,challenge
500,calibration
501,val
502,train
503,train
504,calibration
505,challenge
506,train
507,calibration
508,train
509,val
510,challenge
511,challenge
512,calibration
513,train
514,challenge
515,train
516,challenge
517,train
518,train
519,train
520,train
521,val
522,train
523,val
524,train
525,calibration
526,train
527,train
528,challenge
529,val
530,calibration
531,train
532,train
533,train
534,calibration
535,train
536,val
537,challenge
538,train
539,val
540,train
541,val
542,val
543,train
544,calibration
545,train
546,train
547,train
548,val
549,train
550,train
551,train
552,challenge
553,train
554,train
555,train
556,train
557,train
558,train
559,challenge
560,train
561,train
562,train
563,val
564,train
565,train
566,train
567,calibration
568,train
569,calibration
570,challenge
571,train
572,val
573,train
574,challenge
575,challenge
576,val
577,val
578,train
579,train
580,train
581,train
582,train
583,calibration
584,train
585,train
586,calibration
587,train
588,train
589,train
590,challenge
591,train
592,train
593,train
594,challenge
595,train
596,train
597,train
598,calibration
599,calibration
600,challenge
601,val
602,train
603,challenge
604,train
605,challenge
606,challenge
607,train
608,val
609,val
610,calibration
611,train
612,train
613,challenge
614,train
615,challenge
616,train
617,train
618,train
619,train
620,train
621,calibration
622,val
623,val
624,train
625,train
626,val
627,train
628,val
629,train
630,train
631,train
632,train
633,val
634,train
635,challenge
636,train
637,train
638,challenge
639,challenge
640,calibration
641,challenge
642,train
643,train
644,train
645,train
646,val
647,train
648,train
649,train
650,train
651,calibration
652,train
653,train
654,calibration
655,challenge
656,calibration
657,challenge
658,challenge
659,train
660,train
661,val
662,train
663,train
664,challenge
665,train
666,challenge
667,challenge
668,challenge
669,challenge
670,train
671,train
672,train
673,train
674,train
675,calibration
676,train
677,train
678,challenge
679,challenge
680,val
681,val
682,train
683,train
684,train
685,challenge
686,val
687,calibration
688,calibration
689,train
690,train
691,train
692,val
693,train
694,train
695,train
696,val
697,challenge
698,calibration
699,train
700,challenge
701,train
702,train
703,train
704,train
705,challenge
706,challenge
707,challenge
708,val
709,train
710,train
711,train
712,calibration
713,challenge
714,val
715,train
716,val
717,train
718,challenge
719,train
720,calibration
721,train
722,train
723,train
724,calibration
725,train
726,train
727,train
728,val
729,calibration
730,train
731,challenge
